gvkey,fyear,datadate,act,at,cogs,dltt,dp,oancf,ppegt,rect,sale,xsga,nicon
211043,2002,20021231,2322.0450,9159.9390,2868.9070,5159.7000,308.8610,410.8950,6589.1520,1102.6470,3757.7460,764.9460,-526.9200
211043,2004,20040630,1530.6720,8684.2360,2652.3280,5004.7340,505.8550,536.8190,6399.7610,406.5360,3733.9030,933.4260,-878.8440
211043,2005,20051231,1805.2870,8185.5730,1977.6510,4545.8020,356.0590,158.7890,6206.1470,503.7030,3360.0930,1049.8280,-294.3890
211043,2006,20070331,863.7740,2822.8730,656.9630,1653.7780,72.2290,70.1760,2520.5470,245.3900,1080.2490,414.3400,-226.9100
211043,2007,20080331,881.4400,2855.6990,740.6130,1330.1750,63.6720,-9.8700,2514.7520,264.1910,1110.4630,400.6470,-81.1210
211043,2008,20090331,859.5020,2903.5430,945.6420,1278.4460,54.2350,0.2680,2498.3040,315.7200,1399.2890,401.1320,-117.5220
211043,2009,20100331,0.0000,0.0000,682.8000,0.0000,51.2000,,0.0000,0.0000,1232.8000,318.4000,
211043,2010,20100930,795.7610,2278.8600,1281.3130,531.4600,76.5790,125.6860,2480.7060,248.8070,1859.3260,538.2900,413.1380
211043,2010,20110331,846.1420,2262.6790,527.9740,509.4870,24.9090,25.6460,2482.1110,300.9930,808.1140,186.9460,66.4380
211043,2011,20120331,930.1550,1506.1940,1225.5420,300.0850,50.1530,45.1450,2477.0960,441.4100,1808.6590,402.7620,-7.2540
211043,2012,20130331,866.6990,1359.5460,888.9120,218.3630,46.2840,158.9900,2419.1290,419.6200,1361.6940,372.8550,42.0270
211043,2013,20140331,699.9210,1162.8100,967.4290,53.6460,38.8350,145.5960,2420.2600,256.3070,1501.8240,354.0160,2.8790
211043,2014,20150331,584.5830,1007.6560,940.1030,77.0700,40.3850,138.7820,2425.6510,172.1050,1324.6780,384.9050,-146.3740
211043,2015,20160331,499.2090,2287.5000,488.7930,91.8750,21.7180,103.5630,1803.6340,137.7590,947.3080,232.9090,-98.6020
247578,1999,20000331,575.4450,696.8100,543.3090,122.6160,2.5010,-97.0650,80.7520,206.4070,724.4410,121.1410,115.8860
247578,2000,20010331,658.0290,847.0140,689.0230,131.5650,4.2490,19.1380,115.2320,200.9060,884.2770,121.8030,121.6530
247578,2001,20020331,625.0630,940.2000,729.6470,147.4170,9.4170,,177.3530,173.8950,1056.1170,173.4770,73.4050
247578,2002,20030331,594.9260,944.1530,661.2580,141.1460,10.6000,12.5470,192.6700,90.8700,839.8590,138.3680,58.2770
247578,2003,20040331,667.8760,1007.2830,712.7730,87.1000,11.9740,47.9710,206.6380,96.7960,929.3880,205.1560,32.5610
247578,2004,20050331,607.9910,950.2680,1011.1080,45.7840,16.7960,124.4140,230.7410,129.9790,1323.4330,260.5360,52.9130
247578,2005,20060331,1116.9200,1398.1580,923.7640,352.1720,17.3940,27.9980,252.5900,84.8990,1240.5430,252.4480,47.3290
247578,2006,20070331,1395.8530,1992.9340,1101.4810,502.4630,19.5850,-26.3740,264.5400,169.8830,1448.7020,308.1590,39.6100
247578,2007,20080331,0.0000,0.0000,978.0650,0.0000,18.9870,,0.0000,0.0000,1631.2220,65.9630,63.8540
247578,2008,20090331,1207.2210,2020.7230,1310.1220,100.9370,20.4160,187.1940,487.0550,142.8960,1687.0290,279.0290,22.2430
247578,2009,20100331,919.6040,1793.5570,1603.5280,129.3410,25.1540,252.0660,564.3260,105.1880,1918.5720,281.8140,45.9340
247578,2010,20110331,1235.5410,2146.3020,1476.8320,96.5150,27.9440,-133.1280,649.0170,134.6000,1793.2290,286.7390,63.7880
247578,2011,20120331,1508.4890,2502.9110,1887.4790,88.7540,28.5100,20.7710,762.5800,321.5040,2506.7320,345.9600,114.5190
