gvkey,fyear,datadate,act,at,che,cogs,dlc,dltt,dp,dpc,ib,lct,oancf,ppegt,ppent,rect,sale,xsga,nicon,sic
211043,2002,20021231,2322.0450,9159.9390,61.5580,2868.9070,0.0000,5159.7000,308.8610,346.7030,-482.7600,1116.6860,410.8950,6589.1520,3540.2470,1102.6470,3757.7460,764.9460,-526.9200,2300
211043,2004,20040630,1530.6720,8684.2360,56.8330,2652.3280,0.0000,5004.7340,505.8550,505.8550,-1243.9070,851.6660,536.8190,6399.7610,2928.4220,406.5360,3733.9030,933.4260,-878.8440,2300
211043,2005,20051231,1805.2870,8185.5730,368.7550,1977.6510,0.0000,4545.8020,356.0590,405.0540,-363.1390,935.4320,158.7890,6206.1470,2323.6830,503.7030,3360.0930,1049.8280,-294.3890,2300
211043,2006,20070331,863.7740,2822.8730,43.3540,656.9630,0.0000,1653.7780,72.2290,72.2290,-226.9100,481.5160,70.1760,2520.5470,736.3050,245.3900,1080.2490,414.3400,-226.9100,2300
211043,2007,20080331,881.4400,2855.6990,22.0880,740.6130,291.4840,1330.1750,63.6720,63.6720,-81.1210,837.9450,-9.8700,2514.7520,670.3580,264.1910,1110.4630,400.6470,-81.1210,2300
211043,2008,20090331,859.5020,2903.5430,6.0660,945.6420,188.2470,1278.4460,54.2350,54.2350,-115.6240,737.5180,0.2680,2498.3040,624.5760,315.7200,1399.2890,401.1320,-117.5220,2300
211043,2009,20100331,0.0000,0.0000,0.0000,682.8000,0.0000,0.0000,51.2000,,-57.1000,0.0000,,0.0000,0.0000,0.0000,1232.8000,318.4000,,2300
211043,2010,20100930,795.7610,2278.8600,21.2660,1281.3130,231.0150,531.4600,76.5790,76.5790,441.1970,794.8210,125.6860,2480.7060,541.9740,248.8070,1859.3260,538.2900,413.1380,2300
211043,2010,20110331,846.1420,2262.6790,3.8850,527.9740,227.7880,509.4870,24.9090,24.9090,43.1870,800.6130,25.6460,2482.1110,518.9810,300.9930,808.1140,186.9460,66.4380,2300
211043,2011,20120331,930.1550,1506.1940,16.5980,1225.5420,531.4470,300.0850,50.1530,50.1530,12.7360,1081.1400,45.1450,2477.0960,474.7350,441.4100,1808.6590,402.7620,-7.2540,2300
211043,2012,20130331,866.6990,1359.5460,11.8040,888.9120,528.6300,218.3630,46.2840,46.2840,44.4510,962.3540,158.9900,2419.1290,391.7060,419.6200,1361.6940,372.8550,42.0270,2300
211043,2013,20140331,699.9210,1162.8100,17.8260,967.4290,539.0180,53.6460,38.8350,38.8350,2.8790,940.6870,145.5960,2420.2600,365.1570,256.3070,1501.8240,354.0160,2.8790,2300
211043,2014,20150331,584.5830,1007.6560,20.8900,940.1030,444.7710,77.0700,40.3850,40.3850,-146.3740,852.0980,138.7820,2425.6510,326.7870,172.1050,1324.6780,384.9050,-146.3740,2300
211043,2015,20160331,499.2090,2287.5000,17.1650,488.7930,439.7730,91.8750,21.7180,21.7180,-98.6020,846.7450,103.5630,1803.6340,1782.3630,137.7590,947.3080,232.9090,-98.6020,2300
247578,1999,20000331,575.4450,696.8100,121.6270,543.3090,91.1650,122.6160,2.5010,2.5010,115.8860,199.8890,-97.0650,80.7520,71.2270,206.4070,724.4410,121.1410,115.8860,2300
247578,2000,20010331,658.0290,847.0140,82.5920,689.0230,118.8150,131.5650,4.2490,9.3700,121.6530,237.8970,19.1380,115.2320,101.5830,200.9060,884.2770,121.8030,121.6530,2300
247578,2001,20020331,625.0630,940.2000,143.1920,729.6470,72.7210,147.4170,9.4170,,73.4050,265.8420,,177.3530,145.5960,173.8950,1056.1170,173.4770,73.4050,2300
247578,2002,20030331,594.9260,944.1530,105.4080,661.2580,96.1540,141.1460,10.6000,34.3410,58.2770,218.2310,12.5470,192.6700,151.2590,90.8700,839.8590,138.3680,58.2770,2300
247578,2003,20040331,667.8760,1007.2830,127.6090,712.7730,162.8770,87.1000,11.9740,38.9230,32.5610,322.2530,47.9710,206.6380,153.7020,96.7960,929.3880,205.1560,32.5610,2300
247578,2004,20050331,607.9910,950.2680,99.3670,1011.1080,124.2690,45.7840,16.7960,20.0830,52.9130,306.4320,124.4140,230.7410,165.9680,129.9790,1323.4330,260.5360,52.9130,2300
247578,2005,20060331,1116.9200,1398.1580,157.6400,923.7640,195.2110,352.1720,17.3940,19.6000,47.3290,354.9520,27.9980,252.5900,174.5500,84.8990,1240.5430,252.4480,47.3290,2300
247578,2006,20070331,1395.8530,1992.9340,322.5720,1101.4810,300.7590,502.4630,19.5850,19.6030,39.6100,585.6700,-26.3740,264.5400,172.4340,169.8830,1448.7020,308.1590,39.6100,2300
247578,2007,20080331,0.0000,0.0000,0.0000,978.0650,0.0000,0.0000,18.9870,,63.8540,0.0000,,0.0000,0.0000,0.0000,1631.2220,65.9630,63.8540,2300
247578,2008,20090331,1207.2210,2020.7230,150.3840,1310.1220,544.1500,100.9370,20.4160,20.5720,22.2430,933.4490,187.1940,487.0550,363.3040,142.8960,1687.0290,279.0290,22.2430,2300
247578,2009,20100331,919.6040,1793.5570,121.6680,1603.5280,336.1200,129.3410,25.1540,25.3220,45.9340,580.6360,252.0660,564.3260,416.3820,105.1880,1918.5720,281.8140,45.9340,2300
247578,2010,20110331,1235.5410,2146.3020,96.3670,1476.8320,530.9440,96.5150,27.9440,28.1250,63.7880,841.3270,-133.1280,649.0170,475.5820,134.6000,1793.2290,286.7390,63.7880,2300
247578,2011,20120331,1508.4890,2502.9110,127.5340,1887.4790,678.4960,88.7540,28.5100,28.8700,114.5190,1041.5530,20.7710,762.5800,568.6160,321.5040,2506.7320,345.9600,114.5190,2300
247578,2012,20130331,1830.3970,2902.8190,166.2120,2350.7810,765.7020,272.1750,32.1410,32.3630,101.3870,1145.5350,-55.9190,860.4900,649.1200,441.0250,3030.6030,411.2690,101.3870,2300
247578,2013,20140331,2701.9580,3797.8620,433.2910,3201.2830,1393.0750,313.6070,39.3250,39.5460,145.1830,1845.6740,-212.5650,924.9560,680.0380,433.5820,4144.0950,557.7420,145.1830,2300
247578,2014,20150331,3610.4240,4733.5290,365.8460,4382.7280,1727.6930,313.7000,62.7840,63.0240,210.0370,2575.2780,-173.5350,999.7690,717.5310,1096.9280,5581.2770,694.3480,210.0370,2300
247578,2015,20160331,4187.8390,5444.2280,334.6170,3834.2470,1881.8060,342.3550,60.2410,60.4980,247.1480,2797.4030,-119.2090,1159.0630,821.5010,1040.3690,6254.4790,384.8110,247.1480,2300
247578,2016,20170331,4776.6150,6198.6800,573.0370,4097.3020,2343.6180,305.6550,62.0720,62.3340,212.7610,3196.4870,-24.7680,1371.8350,980.0230,1059.5860,6458.9570,478.4240,212.7610,2300
247578,2017,20180331,6538.3620,9099.4060,398.9700,4524.0590,3003.7930,472.8400,74.8160,74.8160,174.6670,4776.8180,-562.9110,1246.1620,1134.9820,2454.8610,7103.9050,515.3230,174.6670,2300
247578,2018,20190331,6352.9590,9176.5790,452.8740,4558.4680,3231.5960,597.7140,80.4940,80.4940,197.9040,4497.0050,80.3570,1343.0510,1163.9750,1636.6520,7479.9740,504.1460,197.9040,2300
