id,date_flown,route,traveller_type,author,date_of_review,overall_rating,aircraft,cabin_flown,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,seat_comfort,value_for_money,wifi_and_connectivity,review_verified,review_title,review_text
1,November 2022,Vancouver to Delhi,Couple Leisure,Harjit Dhaliwal,5th November 2022,2,na,1,1,3,1,4,Economy Class,1,1,Not Verified,Very poor service, Very poor service. Food was pathetic with no variation for lunch or dinner. No water or drink or snacks. Most Tvs / entertainment systems not working. No blankets. Staff not visible and not responding to calls.
2,November 2022,Mumbai to Kolkata,Solo Leisure,V Atwal,5th November 2022,7,A320 Neo,5,5,5,na,5,Economy Class,5,na,Trip Verified,great value for money ,"I had found this fare which came at a discount and thought of considering it. The check in was done properly and the last time I travelled on the airline post the Tata takeover, they had reduced the meal service so was skeptical over what the meal service was going to be like on this flight because the last time I travelled, only a sandwich as provided. The boarding started on time however the pushback got delayed by 30 mins due to the congestion at Mumbai airport which is the norm. I was also pleased to note that the ground staff offered me an extra legroom seat which was greatly appreciated. For the breakfast service I was pleasantly surprised as they were offering full breakfasts with both vegetarian as well as non vegetarian fares whereas previously only vegetarian was offered. The cutleries stainless steel instead of plastic which was a great touch. For the vegetarian fayre, it consisted of idlis, poha, croissant as well as mango yogurt along with tea / coffee which was great. The arrival was delayed by 30 minutes. But overall this was great value for money as I had got an extra legroom seat, a full breakfast with steel cutleries and good staff and crew service. I will be flying the return leg soon and I'm confident of receiving similar service. So much appreciated."
3,October 2022,Hyderabad to Delhi,Solo Leisure,Rahul Anand,5th November 2022,7,A320,4,3,3,na,4,Economy Class,4,na,Trip Verified,Good experience ," Aircraft condition is still not up to mark but cleanliness,inflight service and on time performance has improved. Our departure and arrival was on time, aircraft needed refurbishment but was clean, Air India have seats with maximum leg room with same class in India. Dinner served was good. Good experience and will continue flying with them."
4,November 2022,Vancouver to Delhi,Couple Leisure,Venkitarayan Pallipuram,4th November 2022,7,Boeing 777,4,3,4,3,4,Business Class,3,na,Not Verified,a very comfortable experience, Had taken AI 186 in business class on 1st November with my wife and we had a very comfortable experience right from Check in. Flight took off in time and had good comfort and our seats were good and very courteous staff. Food was also OK for us and flight landed in Delhi one hour before the scheduled arrival time. Our connection flight to Kochi also left in time and and arrived also in time at Kochi. Overall we are very happy.
5,November 2022,Chennai to Dubai,Business,Ramapati Singhania,4th November 2022,8,na,5,4,5,na,2,Business Class,5,na,Trip Verified,ticket was cheaper by 40%, My flight Dubai - Chennai was very comfortable in seat 2D. Of course the plane was very old. The safety announcements were antiquated. Entertainment systems were absent. And the seats had limited reclining. But the ticket was cheaper by 40% so I was happy to accept these shortcomings. And the plane was on time.  The 2 lady flight attendants were very attentive and empathetic. I had ordered a gluten free meal and they made sure I was comfortable with it. 
6,June 2022,Chicago to New Delhi,Family Leisure,Agnes Chadi,1st November 2022,1,na,1,2,1,1,2,Economy Class,2,1,Not Verified,do not care for their customers, I took air india in December 2021 and June 2022. On my return I wanted to claim the milage. Something went wrong and I couldn't access the flying return milage program. For last 5 months I have contacted air india staff in vain. Tons of back and forth emails and number of calls at customer service number. They keep passing me from person to person and asking for same document multiple times. I am fed up and frustrated following up with the AI staff and come to conclusion that they have a bunch of staff who do not care for their customers. One of the poorest customer service of an international company. What a pity. Be careful if you ever want to take Air India. There are options people and we deserve a better deal.
7,October 2022,Mumbai to Newark,Solo Leisure,Mary Jones,25th October 2022,1,Boeing 777,2,1,1,1,1,Business Class,1,1,Trip Verified,seats were very uncomfortable," A very old aircraft. I got moved twice because the seat buttons were not working. The seats were very uncomfortable. The tv screen was hazy and unclear. Entertainment was limited to 5 English movies! The map route was not available and the vegetarian breakfast was disgusting. No flavor. The captain came on the speakers twice, at departure and arrival. Most announce the altitude and give a few details of how the route will be."
8,October 2022,Delhi to Vancouver,Solo Leisure,Lalita Basra,24th October 2022,1,na,2,2,1,1,2,Economy Class,1,na,Trip Verified,Airport staff is not trained well, Airport staff is not trained well. Everyone was giving me the different information. Do not know what is the next step. Taking hours for work should be done within minutes. Took double the amount of fee for one baggage. Trying to contact customer service and agents are saying they cannot do anything and I should speak to Delhi airport wow is that even possible. What are they working for?
9,October 2022,Vancouver to Delhi,Business,Simi Seth,22nd October 2022,3,na,3,3,3,2,1,Business Class,1,2,Trip Verified,2seats are broken in business class, The seats are broken in business class and band aids were applied when shared with the air hostess. They should not be putting passengers on such unsafe seats where the handles are wobbly!
10,October 2022,Delhi to San Francisco,Business,Anand David Chelliah,20th October 2022,2,na,4,1,4,1,1,Business Class,1,1,Trip Verified,Don’t fly Air India," Seats were dirty, old worn out and rickety. Video screens not working. Staff were apologetic and helpless. It’s not worth the money at all. There are more airlines that give you better value for money. Such a sad experience. Don’t fly Air India."
11,September 2022,London to Delhi,Business,J Basan,19th October 2022,2,A380,3,1,2,1,1,Business Class,2,na,Trip Verified,very poor experience," Overall very poor experience. Only highlight was access to lounge at HTR airport which was Singapore Airlines lounge. Flight experience - seats are not as comfortable as one would expect in business class. Very old seats with poor cushion. seats in row 1 is very narrow. Flight entertainment did not work so made the flight very noisy. Food was not up to business class standard. Did not get wash bag when flying out, not sure why. Flight from Delhi to London - food was very poor. A menu was supplied only to be told that options on the menu not available. Food tasted poor quality and dry. Airport lounge at Delhi airport was not up to standard - food was limited choice, not enough provisions. I would give a zero rating for inflight entertainment and food if I had a choice."
12,October 2022,Delhi to Kolkata,Family Leisure,Shovan Das,19th October 2022,9,na,5,5,5,na,5,Economy Class,5,na,Trip Verified,very customer friendly," Very well maintained. Cabin crews were  amicable and very customer friendly. They responded quite promptly to any problem we faced. From check in to onboard and inflight experience, all were perfectly balanced. Even during the huge turbulence the pilots were quite professional and handled the situation well. "
13,October 2022,Visakhapatnam to Jammu via Delhi,Family Leisure,G Patush,18th October 2022,10,na,5,5,5,na,5,Economy Class,5,na,Trip Verified,experience has been improving," I am a frequent flyer of AI. I m proud to share that my experience has been improving in recent times. The ground staff is courteous, helpful and cooperative. The quality of food has improved and the variety introduced is amazing. In fact this particular route which I flew, i reached before time. Strongly recommend"
14,October 2022,Washington to Delhi,Family Leisure,G Masindra,17th October 2022,1,na,1,1,1,1,1,Economy Class,1,na,Trip Verified,Flight is the worst, Flight is the worst. Entertainment system is not working for 14 hours flight and they do Covid test for only American citizens They do discrimination after landing people at Indian airport are very rude “show me your boarding card in a very rude manner “. 
15,October 2022,London to Mumbai,Family Leisure,T Gayal,5th October 2022,3,na,4,3,2,1,2,Economy Class,2,2,Trip Verified,plane was not cleaned properly," Seats were broken, the plane was not cleaned properly, trays broken and dirty around tray. Screens for a-lot of people not working. Plane very outdated when we have paid over £600 for ticket. Staff were good however."
16,October 2022,Delhi to Birmingham,Solo Leisure,S Shubham,2nd October 2022,9,na,na,na,5,na,na,Economy Class,4,na,Trip Verified,Her polite behavior was amazing," Summaiya saw me standing, as I was almost 5 hours before the flight time. She was so kind and generous to me that she did my check in and helped me even. Her polite behavior was amazing and nice."
17,September 2022,Bhopal to Delhi,Business,H Gardav,30th September 2022,9,A320-200,5,2,5,na,5,Economy Class,5,na,Trip Verified,smooth and comfortable flight," Booked Air India after reading many negative reviews to see how bad it really was. Turned out to be a pretty smooth and comfortable flight. Quick & efficient check-in staff. Plane arrived early, we departed early and reach much before the scheduled arrival time. The cabin crew was courteous and professional. Snacks served were very basic but of good quality. Emphasis was made on covid safety protocols. Baggage reclaim was quick. Though the aircraft was 12.6 years old and did show some signs of ageing, the cabin was quite clean and in a good condition despite the years of wear. "
18,September 2022,Sydney to Delhi,Couple Leisure,Reena Makkar,29th September 2022,8,na,5,5,5,5,5,Business Class,5,na,Trip Verified,a great experience for us2," Both me and my husband travelled in business class on the 25th September. The flight was very comfortable. The air hostesses went above and beyond to make sure we were comfortable. We were provide with amenities including a night suit. The food was more than sufficient and extremely tasty. I will like to specially mention the cabin supervisor Kalpana and her team members Varsha, Preeti and Makarand. I have come across a lot of negative comments about Air India but honestly it was a great experience for us."
19,September 2022,Bangalore to London,Family Leisure,Nikhil Jasrotia,28th September 2022,4,na,4,1,4,1,3,Economy Class,2,1,Trip Verified,Outdated aircraft," Outdated aircraft. The entertainment system's screen could barely be seen. A very laggy interface. (This was on either legs of the flight. BLR-MUM-LHR & the return leg) The company needs to immediately look to upgrade their high traffic/revenue routes for start. Selection of alcohol was pathetic. They're only offering cheap IMFL liquor Sula wine & Blenders Pride. Ballentine though part of selection, was over shortly. Professional staff, who know how to manage the odd unruly passenger or support the elderly. If AI has anything to be thankful for, it is their staff."
20,September 2022,Toronto to Delhi,Couple Leisure,V Jaydel,22nd September 2022,7,na,5,4,4,2,3,Business Class,4,na,Trip Verified,Will travel again," Service was very good. Some minor problems but bearable as the price was close 1000 usd cheaper. The arm rest falling apart, choices on TV had 7 categories but only movies and TV options were working About 4 seats were not functioning. They blocked off those seats and accommodated the passengers in other available seats Staff was very attentive. Will travel again"
21,September 2022,Delhi to Ahmedabad,Business,Rahul Anand,21st September 2022,8,A321,4,3,4,na,4,Economy Class,4,na,Trip Verified,Smooth experience," Smooth experience, early morning flight from Delhi. Aircraft was almost empty, with capacity around 200 passengers of A321 it was having only 60 passengers. Requested by cabin crew to occupy emergency exit seat to fulfil the emergency protocol. Crew were courteous, flight was on time, seats of Air India economy is best of domestic carriers. They only served a sandwich, 
 even that was not required."
22,September 2022,Mumbai to Delhi,Solo Leisure,Rahul Anand,20th September 2022,7,A320Neo,4,4,3,na,4,Economy Class,4,na,Trip Verified,offers 20kg baggage allowance," Flown on an early morning Mumbai to Delhi flight. Departed on time and so was arrival. Air India is the only domestic airline which offers 20kg baggage allowance whereas rest all offers 15kg. Seat pitch of Air India is better than any other domestic airline. Cabin was clean and fresh but due to mishandling and mismanagement by previous management the seats are bit old, new management needs to refurbish now. Served good breakfast on the way, Staff were courteous and good service on board."
23,September 2022,New York JFK to Cochin via Delhi,Family Leisure,Jyoti Nair,20th September 2022,1,na,2,1,1,1,1,Economy Class,1,1,Trip Verified,We had the worst experience, We had the worst experience flying with Air India. I was flying with my 12 year old son and I had hurt my knee and needed a wheel chair. The food was horrible on the flight. Tasteless food and our television set was not working. We were traveling 14 hours without a TV. The crew tried their level best to reset it but it just would not work. The ground staff at Delhi Airport was just horrible. They have a huge badge that says no tips but since he has to help me from international to Domestic and take my luggage from I decided I would pay him 1000 Rupees which I thought was a fair tip. But he started demanding more money and n dollars. His friends came there too asking what’s the matter.  He told me that he took me their short cuts so he has to share the money thru the official thru. Wow Air India. Your officers don’t get paid that they loot us? Finally he settled for 60$. Why when all other air line employee or for that matter Air India ground staff in the USA won’t demand money why in India do they literally take advantage of you? Shameless.
24,September 2022,Bengaluru to Dubai,Family Leisure,Vivek Anand,20th September 2022,8,A320 NEO,5,5,4,na,4,Economy Class,4,na,Trip Verified,The airline has improved," The airline has improved in terms of great customer service, a courteous cabin crew, and excellent food and beverages served. We were travelling with an infant and the cabin crew were helpful and checking with us and provided all the assistance."
25,September 2022,Melbourne to Delhi,Family Leisure,R Hasin,19th September 2022,3,Boeing 787,2,1,2,2,1,Economy Class,2,1,Trip Verified,aircraft seats were torn and dirty," We flew economy to Delhi from Melbourne on Air India AI309 on 16 Sept 2022 in a Boeing 787-8. At check-in the staff wanted our vaccine certificate and Airseva app downloaded. This was not known whilst booking or was any email sent prior to the day of departure. This resulted in huge chaos at check-in as lot many didn’t know. The aircraft seats were torn, and dirty, and the handrest and other parts of the seat were held together with fraying masking tape. The cabin partitions and carpet were covered with grime. The flexible arm of the display wouldn’t stand up, and the wired remote was broken and temperamental. The Upma & Vada served for breakfast was undercooked and stale. The bread roll was cold and tough as a rubber pad. Food didn't get any better on the 12-hour flight. Snacks were meagre to non-existent. I have used public urinals, which are cleaner than the toilets on board. The in flight service and cleanliness on this route were much better before the change of ownership."
26,September 2022,Delhi to Madurai via Chennai,Couple Leisure,Vamshi Krishnan,18th September 2022,1,na,1,1,1,1,1,Economy Class,1,1,Not Verified,supposedly too late for boarding," I have been a frequent flier in Air India being a government employee, took a sigh of relief when it got privatised, which meant that I no longer had the compulsion to fly the same. However, against my better judgement I booked a flight from Delhi - Madurai via Chennai on 18 Sep. Reached the airport about an hr and thirty mins early as I was already travelling from Jammu. But due to the overall rush at the entrance and que, reached the counter 55 MINS prior to departure, but to my horror I was refused a ticket as the ‘Wonderful Server of Air India’ didn’t take web checkin and I was supposedly too late for boarding. The same was the case with four more passengers on same flight and even on the request of so many passengers, no body triers to hear the problem or help. the Manager was rude to the hapless passengers."
27,July 2022,Delhi to Kerala,Family Leisure,Advay Biswal,15th September 2022,1,na,1,1,1,1,1,Economy Class,1,1,Not Verified,won't fly Air India again," The worst airline I have ever experienced. The ground staff is very rude. And most of the time the In Flight Entertainment doesn't work. The call button in the flight doesn't work, it took me 20 minutes to call a flight attendant. The food is horrible. The seats are very unhygienic, the tray table is also very dirty. After arriving on the airport, it took 30 minutes just for the first bag to come, and when I received mine, it was a bit damaged from the side. Terrible airline, won't fly Air India again."
28,September 2022,Bengaluru to Mumbai,Solo Leisure,N Shavun,8th September 2022,6,A320 neo,5,2,5,na,5,Economy Class,5,na,Trip Verified,new ownership is interested in cutting costs," The fare was booked at a cheaper fare which was good. The check in process and the ground staff was also good. The boarding started on time. However my experience related to the food and catering has been the opposite. Seems Air India has dropped the ball with regards to the food on board. Previously before it got privatized, they used to provide a full breakfast with tea / coffee as part of it's morning service. This time when I traveled post the takeover, instead of the breakfast, all we got was a sandwich. No beverages at all. Air India's food and catering was always it's strong point even before it got privatized (along with seat pitch and baggage allowance). But it seems that the new ownership is interested in cutting costs and then marketing this as as some sort of ""innovation"" to the gullible flying public. There are so many other aspects of the airline that need to be improved. Instead what the owners have done is turned a strength into a weakness."
29,June 2022,Vancouver to Delhi,Solo Leisure,Jen Thomas,7th September 2022,1,na,1,1,1,1,1,Economy Class,1,1,Not Verified,Worst flight I ever had," Worst flight I ever had. I paid money and they even did not provide basic needs. TV was there and it wasn't working, and you can understand how I feel that for a long flight. I asked cabin crews for few things and honestly speaking, restaurant staffs are way more better than them. They were too rude and I became really scared to ask even for a glass of water. Guys, please, we are spending too much money on this airline atleast provide what we deserve. Please do train your staff, please make sure things are working, it is a request."
30,August 2022,Delhi to Ahmedabad,Family Leisure,Hussain Lokhandwala,30th August 2022,3,A321,3,na,4,na,2,Economy Class,1,na,Trip Verified,Leg space was also very small, They are providing TV but not allowing to use us. In Air india on same day I was travelling in 2 flights in both meals were included but in both they gave us the same meal in which they gave sandwich with a water bottle. This sandwich taste is very bad we ask them to give another food for which we were ready to pay but they had no other options. Leg space was also very small. There were no wifi connection.
31,January 2022,Toronto to Delhi,Family Leisure,Harjinder Bamrah,29th August 2022,1,na,2,2,1,na,1,Economy Class,1,na,Not Verified,Totally poor service, I travelled in January 2022 from Toronto to New Delhi. Airplane seat were very dirty. No tv screen was working. No maps monitor was working. Ticket price was very expensive. Totally poor service.
32,August 2022,Vancouver to Delhi,Solo Leisure,Sahil Malhotra,29th August 2022,1,Boeing 777-300ER,3,1,1,1,1,Business Class,2,1,Trip Verified, My seat stopped reclining," Rock hard seats (even in business), infotainment system worked thankfully, but the movies collection was very limited and from pre 2000 era. The interface was dated and buggy. Food quantity was limited with very poor presentation. I had an onward journey of 2 hours with Vistara on a domestic business, and that food quality/presentation was far better than this 14 hr Air India flight. Typical other issues as expected/noted with this flight. Seats were dirty, and you could see adhesive in various places. My seat stopped reclining mid-way and got stuck in a lie-flat position; I was then moved to another seat, which did not recline at all, and I was forced to be in a sitting position for the remainder journey. The washroom sink was choked towards the latter half of the flight. Feedback/complaint registered on Air India website, but as expected, there is no response (been over 15 days). The only positive of the airline was the cabin crew, who were courteous and polite. Flying economy of AC or one of the ME3 is a better choice than flying business with Air India!"
33,August 2022,Chennai to San Francisco via New Delhi,Solo Leisure,Sridhar Makkena,26th August 2022,4,na,4,1,1,1,1,Economy Class,1,1,Not Verified,I decided to not fly Air India again," I was flying from New Delhi to San Francisco. The food was horrible. The chicken was bone dry,  green beans were raw at the center, the dish was very watery. The rice I was served was very dry and hard, the curry lacking any flavor. The seats didn't recline properly, and were as hard as a rock. The cabin crew was helpful, but unfortunately that's about as far as the positives go. I decided to not fly Air India again."
34,August 2022,Delhi to Paris,Family Leisure,Alpa Gandhi,25th August 2022,3,Boeing 787-8,2,2,3,1,2,Economy Class,2,na,Trip Verified,Air India will certainly be my last option, Extremely disappointed with in flight entertainment. Mine did not work at all and getting through the long flight was a nightmare. The steward clearly told me that they cannot check each every unit and it is just my bad luck! I am already dreading my return flight after 15 days. Will Air India stay on my list of preferred airlines? Answer is no. Air India will certainly be my last option. Also. one of my bags also came back damaged!
35,June 2022,Newark to Indore via Delhi,Family Leisure,Akhilesh Joshi,24th August 2022,1,Boeing 777-300ER / A321,1,1,1,1,2,Economy Class,1,1,Trip Verified,not cleaned since many of the past flights," I travelled from Newark to Delhi on 27 Jun 2022. Welcome onboard by air hostesses was like as they are obliging me by allowing to board the flight. The seat was not fully operational with Digital screen. The handle/bar swivel was not aligned properly. Retractable desk was broken and screws missing and the hinges were with ‘wet’ adhesive. It appeared that they were either just pasted or wrong adhesive was used to stick the broken hinges/ swivel.  When opened the table, I was continuous holding the glass and water bottle, as it was not balanced, they were rolling towards centre. ( No turbulence). There was no connection to plug in the ear phone and the socket was missing. (I picked up ear phone from adjoining vacant seat). International flight of 14 hrs was not provided with sanitizer, face mask, eye mask, dental kit, shaving kit except the dirty throw blanket and pillow.  The newspaper shelves/ behind the front seat were too dirty and full of garbage.  The bulkheads had so many oily spots/ finger spots that they were not cleaned since many of the past flights.  Regarding welcome drinks there was no option other than Orange/ Apple juice or aerated water/ drinks and soda drinks. 1The digital screen had only 6 (classical) and 4 (recent) movies out of which few could not be screened. The map was continuous on “Flight Data not available”. Lunch was just like ‘Rice Plate’ available in Mumbai worth Rs 20/-. The cheapest desert, dried bun, no fruits. The quantity was 4 cubes of Paneer, four pieces of boiled potato and 2-3 spoons of boiled rice.  After serving lunch, the staff did not serve drinks/ water for almost eight hours of flight. Later on approaching to pantry, the staff denied rather expressed their binding to serve on seat.  After nine hours they distribute dry snack pacjets(3) 20gms each without tea/ coffee/drinks or fluid. The overhead lights were on auto mode to switch ON / OFF and the attendance call switches were not working.  The toilets were filthy with no hand soap/ cologne etc. only hand sanitizer of local brand was kept with scarcity of hand tissues.  The second meal was served 2:00 hrs before the destination which contained 4 spoon rice, beans and boiled yellow dal + yogurt and mango pudding as desert. The cutlery items were from the cheapest plastic product and a tissue paper of 4x6 size, that too of the cheapest quality. It’s a disgrace for me to travel with Air India on a premium category international flight.  The hot tea/coffee was served in paper cups of roadside quality which can be bought in market for Rs 25- 100 pieces. "
36,August 2022,Delhi to Tokyo,Solo Leisure,Amit Kumar Sanghi,21st August 2022,8,Boeing 787-8,5,5,5,4,4,Business Class,3,na,Trip Verified,Overall good flight, Service quality was excellent. Food was good. Amenity kit is good. Seats were a bit old. Screen Remote was not working. Movie choices are few. Overall good flight.
37,August 2022,Bhubaneshwar to Ahmedabad via Mumbai,Couple Leisure,Rahul Anand,20th August 2022,8,A320,4,4,5,na,4,Economy Class,4,na,Trip Verified,Staff were courteous," Bhubaneshwar to Ahmedabad via Mumbai. Both aircraft used was A320. Staff were courteous, as it was snack time so only a sandwich with a sweet were provided, same for Mumbai Ahmedabad flight as it was less than an hour flight. At Bhubaneshwar after boarding there were some security reasons (and it was independence day of India) we were deboarded and again have to go through security and also through check of aircraft, this made the schedule delayed and we were on the verge of missing our connecting flight, we contacted commercial staff and they assured that they will try our best to get the connection. When we reached Mumbai it was already boarding time of our connection, just after disembarking we saw a staff who was waiting for us , he escorted till security, before security he changed our (only) boarding pass with a new one which was printed on business class so that we can go through business class security which was like a breeze. Actually we were the last one to board and they were waiting for us only."
38,August 2022,London to Hyderabad,Family Leisure,D Vargalli,19th August 2022,4,na,3,5,3,3,1,Economy Class,3,na,Trip Verified,Very disappointed with Air India, They didn’t give us seat belt for the Infant we are travelling with which is really not safe and there is only 1 cot seat for the whole economy class. It is very difficult to travel with infant on lap for 10 hrs. Very disappointed with Air India.
39,August 2022,Mumbai to Male,Couple Leisure,R Marbini,18th August 2022,8,na,4,5,4,na,3,Economy Class,5,na,Trip Verified,I would recommend," As with other Indian companies, we had problems with the web check-in, but the check-in was smooth (it was Independence day, and almost no one was flying). Everything else was fine. The cabin service was great, and the personnel nice. The price is that of a low cost with, but the service is much better. I would recommend."
40,July 2022,London to Trivandrum via Delhi,Family Leisure,D Baji,17th August 2022,1,na,3,1,1,1,1,Economy Class,1,1,Not Verified,It was a nightmare for us," The flight was old and everything in it showed ageing. The plastics were cracked, upholstery stained, cushions rock solid, paint peeling. The entertainment screen was not working and when asked the air hostess replied that it’s complaint in almost half of the flight. This happened on our way to and back. This is the first time we are travelling in Air India. In air India even on a £800 ticket (there were 6 of us including a 2yr old, so £4800 in total) you feel poor and wants to get out of it as soon as possible. There were not even a colour pencil to entertain a 2yr old, I shouldn’t be complaining about that, should be glad we even got a seat (not comfortable though) to sit for 8hrs. The food was heavily salted and tasted cheap.  The flights were not on time (affected the transit time, so we had to run from one flight to next) but I not as bad as I heard before, at least Tata taking over has done some good. London via Delhi is not a good idea. When you come from London you need to check out and check in your luggage at Delhi again, so that takes min 2hrs in transit time (not to mention the porters and staff at Delhi trying to scam you) and you will almost miss your next flight of the first one was late to arrive in Delhi. It was a nightmare for us, especially travelling with a child. What an embarrassment to Indians!"
41,August 2022,Coimbatore to Delhi,Family Leisure,Prashaant Chaudhry,16th August 2022,8,A321,5,5,5,na,5,Economy Class,4,na,Trip Verified,stewards were efficient," 
It was a relatively old aircraft. On take off, there was a slight vibration and the seats plastics showed some aging. Seats were comfortable. The washroom was clean and functional. The air stewards were efficient, polite and smart and caring.  Food was decent."
42,August 2022,San Francisco to Delhi,Solo Leisure,Sampath Kunta,16th August 2022,1,Boeing 777-200,1,1,1,1,1,Economy Class,1,1,Trip Verified,seat is not functioning," 
Complete seat is not functioning, IFE is not working.  Unable to call the flight attendant and sleep the flight due to high glare from static screen that cant be turned off or operated. Food is cold and not able to eat. I complained to staff and also the flight supervisors, and they are aware of this issue, like the above issue is there for almost 20% of seats, they also have raised complaints to management but no response. they cant help as mid-flight."
43,August 2022,Delhi to Mumbai,Solo Leisure,Amit Kumar Sanghi,15th August 2022,10,A320,5,5,5,na,5,Business Class,5,na,Trip Verified,Crew was attentive," Check in was smooth with no waiting time. Boarding was smooth. On board, interior has been refurbished, soft seats, good recline and clean cabin. Good quality catering service with choice of vegetarian and non vegetarian. Crew was attentive and was available to help. Magazines and newspaper were free. Food was almost till it is in stock. I am delighted to have great service from air India on domestic route."
44,August 2022,Melbourne to Delhi,Couple Leisure,Tania Sharma,12th August 2022,1,na,1,1,1,1,1,Economy Class,1,1,Not Verified,not worth the risk of flying with them, Lost/Delayed Luggage. Air India is worse flight ever I experienced. We all booked the flights with trust and conditions but this airline not obey any of responsibility towards customer and always something new happened.; This time my mother lost whole luggage which is they are not responsible they said we will send you home but even they don’t know where is a customers bad and staff is so bad and rude they are unable help for anything whatever you said they are blank we try to make a lot of calls which cost a lot overseas and staff said pls call Airport there is no one who help out and tell us truth . Please note it is not worth the risk of flying with them.
45,August 2022,Tokyo to New Delhi,Solo Leisure,Amit Kumar Sanghi,11th August 2022,2,Boeing 787-8,4,1,5,1,1,Economy Class,1,na,Trip Verified,providing low budget airline facilities, I see this airline charging full service carrier and providing low budget airline facilities. Air plane interior was worn out. Seats were cranky and hard. Infotainment was not working except flight map. Lunch portion served was appears to be a child meal. Special meal request was not served. However crew were trying their best and flight arrived early even after a 1 hour delayed departure.
