id,date_flown,route,traveller_type,author,date_of_review,overall_rating,aircraft,cabin_flown,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,seat_comfort,value_for_money,wifi_and_connectivity,review_verified,review_title,review_text
1,November 2022,Chennai to Chicago via Dubai,Solo Leisure,S Hayter,6th November 2022,7,na,4,2,3,3,2,Business Class,3,na,Trip Verified,Meal service was super slow," Overall business class is quite good with friendly and polite flight staff. Few cons: seats are quite narrow. I'm 5'4"", 125 pounds and my elbows were hitting either side. You can lay on your back quite comfortably but I don't know how a bigger person will be comfortable especially on long haul flights. In each of the 4 legs at every meal time, the flight attendant asked me "" do you want to eat dinner/ lunch/ brunch?"". Of course I would. Where would I go for sustenance on a 15 hour flight? It's not like I could jump out the plane for takeout or fix myself a sandwich. Felt like a weird question like I was waiting for a free meal in a soup kitchen.  Meal service was super slow. On one of the legs, the flight attendant set my table for brunch and the actual brunch arrived 45 minutes later, during lunch time. And my vegan brunch was just a Chia seed pudding which was probably dumped into a bowl from a Mason jar so not sure why the delay. The vegan options were quite pathetic and almost unpalatable on 2 of the 4 legs. Just a mush of steamed rice/ noodles and veggies isn't really a vegan meal. For a $5k ticket, I'd have hoped Emirates would've been a little creative and thoughtful with the vegan meal. "
2,October 2022,Dubai to Denpasar,Solo Leisure,B Gartonov,30th October 2022,1,Boeing-777-300,1,1,1,1,1,Economy Class,1,1,Trip Verified,took a fine of 200 euros," Emirates, together with its agents, is engaged in deception and fraud in the exchange of tickets. I couldn't change my flight tickets for 2.5 weeks! They changed me a few hours before departure and took a fine of 200 euros. If you want to ruin your trip and vacation, contact Emirates, they will do it professionally!"
3,October 2022,London Gatwick to Bangkok via Dubai,Solo Leisure,Richard Laycock,30th October 2022,10,A380,5,5,5,5,5,Economy Class,5,na,Trip Verified,Superb airline,"Superb airline. I really can not fault the airline at all. The cabin crew are extremely attentive, polite and friendly. The food was very tasty. In flight entertainment was very extensive for two 6 hours flights."
4,October 2022,London to Colombo via Dubai,Couple Leisure,Mohammed Ramzan,29th October 2022,5,na,2,1,2,1,2,Economy Class,2,1,Not Verified,treat every passenger the same," When travelling from Dubai to Srilanka and  from Srilanka to Dubai with Emirates and from London to Dubai and  Dubai to London is travelling with 2 different Airlines. Aircraft, the service, food is 1st class when travelling from Europe but  completely different services when travelling to Srilanka. I am requesting Emirates hierarchies to review this and treat every passenger the same. Honestly I thought I was travelling with EASYJET when I travelled from Srilanka to Dubai."
5,October 2022,Bangkok to Frankfurt via Dubai,Family Leisure,B Carter,28th October 2022,7,A380,5,5,3,3,4,Economy Class,4,na,Trip Verified,good value and great staff,"Bangkok to Frankfurt via Dubai. The service on board was great. The touchscreen of the board entertainment system is on some planes are better than on others. The movie collection was vast but didn't fit my taste. My seat wasn't locked. So, it changed position without pushing the button. However, those minors didn't bother me because of the good value and the great staff. What bothered me is the lack of goodwill of the Emirates on ground service. Emirates offered to reschedule the booked flights because of the Covid-19 pandemic for three years (what was great). However, our daughter became 13 years old during that time and a new more expensive adult ticket was needed for her. However, we saved about 150 Euro for her previous ticket, we had to add another 600 Euro for the new ticket. To get the new ticket kept us almost two hours on the phone with fast speaking call service assistants. On the way back, we had to pay additional 217 Euro for overweight. That was new for us, because we always could have one to two more kilogram per suitcase. Maybe it is standard nowadays, but every weight scale is different, therefore I think airlines good except two kilos more per suitcase. Families seem to be disadvantaged in this concern. They count the overweight as total. If family members check in individually, they could save a few bucks."
6,October 2022,Dubai to Venice,Solo Leisure,D Layne,26th October 2022,9,?,5,5,5,5,5,Economy Class,4,na,Trip Verified,A good flight, EK135 22 October Seat 46A. This flight was a continuation of the Brisbane to Dubai flight 24 hours later. The flight was not full but paid and was given twin seats for myself and wife. Worth the extra cost as 3 rows of seats behind reserved for cabin crew who never used them on this flight. Took off on time arrived on time 2 meals served on flight and usual water and soft drinks tea and coffee. A good flight.
7,October 2022,Brisbane to Dubai,Couple Leisure,P Lane,25th October 2022,9,A380,4,5,5,5,5,Economy Class,4,na,Trip Verified,Gluten Free meals are excellent, Brisbane to Dubai. Paid for seat selection and was given correct seat aisle 84c was fortunate there was empty middle seat on 14 hour flight. The Gluten Free meals which Emirates serve are excellent. The flight went smoothly and landed safely. Perhaps the only negative was water given with 2 meals and snack no cabin crew coming around with extra water between you seem to have to ask. Then stayed overnight at Dubai Airport Hotel before onward journey to Venice.
8,October 2022,Copenhagen to Sydney via Dubai,Solo Leisure,Robyn Annabel,21st October 2022,1,Boeing 777 / A380,1,1,1,1,2,Economy Class,1,1,Trip Verified,hasn't been a great experience," The service I expected from a low cost carrier, not one of the supposedly best airlines in the world. One of the check in ladies at Copenhagen refused to let me carry on my carry on baggage, despite having taken 12 other flights, including 2 other Emirates flights with no problems on this trip. I went and repacked a few things and lined back up and the same lady went and told every other agent about me. I have never been treated so poorly by airline staff. I ended up in tears and they couldn't care less.  It isn't much better on board. The cabin crew are not overly friendly, you press the call button and it takes so long to get help you wonder if it worked. The food is also average, one of the meals was so horrible, I couldn't even eat it and they feed you at odd times. The entertainment options are terrible, most of the options I hadn't heard of to the point where I downloaded movies on Netflix to watch instead. All in all, for an airline that I was so excited to fly with, it hasn't been a great experience and I will be looking at other airlines before flying Emirates again that's for sure."
9,October 2022,Bali to London via Dubia,Solo Leisure,A Smith,18th October 2022,6,Boeing 777- 300 / A380- 800,3,4,4,4,3,Economy Class,2,na,Trip Verified,think I would try another airline," A very cramped journey from Bali to Dubai in economy with barely any space to put my feet and I am only 5 ft 2. The pilot was very communicative about passing tropical weather and the air hostess were lovely. With just a 1 hour transit in Dubai I hopped onto the A380 which is much bigger but the walkways are still soo mall. The air hostess on this flight were not as friendly. A particular air hostess kept telling me off because I crossed my legs and my foot slightly went onto the aisle, I mean we were so squished. I fell asleep and they didn’t serve me the first meal, or even offer a drink when I woke up, they just past me as if I didn’t exist. The second meal was an excellent portion size, the food could barely fit on the tray. I particularly liked the greek yoghurt and granola, and cheese and biscuits - for the hot food it wasn’t impressive. I had better food on cheaper airlines. The air hostess were OK about re filling my water bottle. All in all I think I would try another airline for this long journey next time, just a few bad vibes from the staff with regards to meals and sleeping as mentioned above."
10,December 2021,Cape Town to Johannesburg,Couple Leisure,Jamie Mackie,12th October 2022,10,na,5,5,5,5,5,Economy Class,5,5,Not Verified,staff are always ready to help," Comfortable, clean, efficient, always goes above and beyond to make you feel pampered. Even in economy the seats are decently sized for a nap and staff are always ready to help."
11,October 2022,Kochi to Dubai,Solo Leisure,N Lakshmi,10th October 2022,4,na,4,4,1,3,3,Economy Class,1,na,Not Verified,experience was not something great," Right from the airport I was facing an unpleasant experience. I was having a laptop bag and one hand baggage. The hand baggage was weighing exactly 7kg but he forced me to put both together and then put my baggage (there was no lock for it) into checked-in and had to pay for additional baggage. Then, while paying for it, they took my card and entered the card number when the payment is already done and machine has already generated receipt. Seems suspicious that my card number is needed to generate a receipt to my email for the additional baggage? Now money is gone and the baggage is damaged. The flight experience was not something great. Landing in Dubai had to wait forever for my baggage."
12,October 2022,Dubai to New York,Family Leisure,O Massour,6th October 2022,5,na,2,na,2,na,2,Economy Class,1,na,Trip Verified,Will avoid in further booking,"Dubai to New York. I misspelled a letter while booking my ticket, found out in the email I received, called to correct a letter, they charged me $30. Bad practice / regulation Emirates Airline. Will avoid in further booking."
13,October 2022,Bangkok to Johannesburg via Dubai,Couple Leisure,P Ison,4th October 2022,1,na,1,na,3,na,3,Economy Class,1,na,Trip Verified,worst booking experience,"Bangkok to Johannesburg via Dubai. This must have been the worst booking experience and customer service of my life. My partner and I booked the exact same route at the exact same time from 2 different laptops directly from the Emirates website. Emirates confirmed they received his payment, the money was out of his account, but part of his flight is not yet confirmed. After a couple of attempts, they made some adjustments and sorted out the issue a few hours later. My booking could not process payment due to a pricing problem between the airlines. After numerous failed attempts over 3 days via customer service and live chats, failed rebooking attempts for the same route, and empty promises from customer agents calling me back, I finally just booked another date to ensure that we can at least spend Christmas together. NEVER in my life have I experienced any issues like this with Qatar (or any other airlines for that matter). Emirates advertise routes and when it comes to booking, they're not able to process and if they do process, they do a half-ass job which leaves customers feeling stressed and running around trying to finalize flight details. Avoid avoid avoid is all I can say. There is a reason Qatar airways is 5 star, and Emirates is 4 star."
14,September 2022,Dubai to Algiers,Family Leisure,Hassiba Benamara,26th September 2022,3,na,1,1,1,3,3,Economy Class,2,1,Trip Verified,Very impolite and rude cabin crew, Very impolite and rude cabin crew from ticketing counter to inside the plane. No just they don’t want help but also ignore you. And you try to catch the attention they literally yell and pass sarcastic comments. I was traveling with my 1 year old. They made our flight a horrible experience and on purpose they did not offer baby food in a 7 hour flight. All crew looked unhappy and were unpleasant to talk with mostly female crews. My flight from Dubai to Algeria was a nightmare because of crew negative behavior and lack of empathy for a mother who’s was traveling with a 1 year old.
15,August 2022,Glasgow to Dubai,Couple Leisure,Russell Taylor,24th September 2022,1,Boeing 777-300,1,1,3,1,2,Economy Class,1,na,Trip Verified,attendants should have stopped serving this pair, It wasn’t a good experience at all. Young newly married couple who were clearly already pretty tipsy on boarding starting boozing hard as soon as it took off and kept a steady pace of drinking solidly for the entire 8hr flight. Cabin attendants kept giving them can after can even though they were getting very drunk. No consideration for others seated anywhere near them and it was really quite uncomfortable given the volume of their constant loud drunken chatter. After we landed at Dubai as I was standing in the aisle waiting on someone lifting something down from the overhead bins the male passenger staggered to his feet wobbled towards me and aggressively barked “where do you think you’re going eh?” Thankfully he was drunk enough I could sidestep him and leave him swaying around but come on Emirates you’re better than this. The cabin attendants should have stopped serving this pair long before landing as they were clearly intoxicated. Not good at all.
