a      b      c
13     13     1
18     18     1
56     56     1
61     61     1
67     67     1
97     97     1
147   147     1
172   172     1
192   192     1
198   198     1
227   227     1
238   238     1
255   255     1
256   256     1
258   258     1
263   263     1
272   272     1
278   278     1
281   281     1
317   317     1
322   322     1
345   345     1
352   352     1
357   357     1
359   359     1
368   368     1
377   377     1
379   379     1
385   385     1
405   405     1
427   427     1
428   428     1
435   435     1
440   440     1
444   444     1
454   454     1
468   468     1
491   491     1
494   494     1
507   507     1
508   508     1
511   511     1
517   517     1
518   518     1
520   520     1
522   522     1
526   526     1
