id,date_flown,route,traveller_type,author,date_of_review,overall_rating,aircraft,cabin_flown,cabin_staff_service,food_beverages,ground_service,inflight_entertainment,seat_comfort,value_for_money,wifi_and_connectivity,review_verified,review_title,review_text
1,October 2022,Delhi to Bangkok,Solo Leisure,L Kayran,5th November 2022,1,na,4,3,2,1,3,Economy Class,1,1,Trip Verified,never travel again with this airline," I was travelling from Delhi to Bangkok through Spicejet flight, and it was my worst experience. I had to wait 10 hours because of the delay in flight, I missed my next connecting flight also from Bangkok to Surat Thani due to their delay from Delhi. Also they delayed first only for 4 hours, and then kept delaying 4 more times. Although they arranged dinner for delayed passengers, and i was told by the receptionist of that restaurant in Delhi airport, that this type of delay is very common with SpiceJet. They messed up my whole schedule for the next day. I missed my meeting, my next flight, and lost my money of next flight ticket. Will never travel again with this airline!"
2,November 2022,Goa to Chennai,Solo Leisure,Faizal Ahamed,1st November 2022,3,na,4,1,2,1,2,Economy Class,2,1,Trip Verified,Horrible experience," Horrible experience, flight was scheduled at night 21:00, received notification in the afternoon that flight is rescheduled to 22:00 hrs and again received notification by evening that flight is again rescheduled to 23:00 hrs. After check in Goa Airport, again further flight is rescheduled to 0000 hrs. First time I am traveling in SpiceJet and it is worst"
3,October 2022,Dubai to Amritsar,Family Leisure,Anas Rafique,29th October 2022,1,na,1,1,1,1,1,Economy Class,1,1,Not Verified,Try to avoid them as much as you can," Always had bad experiences with SpiceJet but still have to travel because of sector and flight time limitations. But they keep on amusing you every time you fly with them, if you think your last flight experience was bad, they make sure the next one is worst. Last flight they left my luggage in Dubai. This time flight delayed by more than 12 hours and the worst part is no one is there to address the customers, the staff are hiding somewhere in the airport. Try to avoid them as much as you can. They should be the last option. Prefer a bus over them."
4,October 2022,Patna to Bangalore,Solo Leisure,A Parmesh,27th October 2022,1,na,1,na,1,na,1,Economy Class,1,na,Trip Verified,Yet another day in SpiceJet glory," Yet another day in SpiceJet glory. My flight gets cancelled precisely 24 hours before (They haven't heard of advanced communication). Note I have a connecting flight the next day from Bangalore to London. Now in a panic, I try every single number for customer care only to be dis-connected saying we are busy (they haven't heard of a call queue). Finally, I scanned through the cancellation message a mail and it reads - you can get a refund or reschedule. I thought maybe they had automated everything and I would be able to book something on the same day if I follow the link - surprise surprise they take me for a complete fool (and for that reason every single customer). After you follow their interface it says your money will be refunded in 21 days and there is no option for fight change. I want my money right now in 1 day in fact in 5 minutes the way you looted it while SpiceJet looted it while they gave an illusion for a service. I wonder why the Indian aviation authorities and customer services are not looking in such malpractices."
5,October 2022,Dubai to Delhi,Couple Leisure,Mandeep Gujral,15th October 2022,1,Boeing 737 Max 8,1,na,1,na,1,Economy Class,1,na,Trip Verified,The worst flight I have flown with,"The worst flight I have flown with, airline has no sense of responsibility towards their customer satisfaction and they don’t value their time. I have taken a return trip flight with SpiceJet and both the times the flight was delayed by more than 4 hours. No communication was sent by the airline. When I asked one of assistant boarding staff to give the email ID of their supervisor, she clearly said that she don’t know the ID and during the flight the cabin crew were not co-operative. SpiceJet is very frequent in news for their delays and flight issues, still no actions are taken from their side. I think the Managing Director and his team should look into this or else SpiceJet should restrict their business to India and close their international flights."
6,October 2022,Port Blair to Chennai,Couple Leisure,Joy Choudhury,5th October 2022,1,na,3,na,3,na,3,Economy Class,1,na,Trip Verified,Spicejet flights are delayed., Always delayed due to technical issues. I wonder why only Spicejet flights are delayed. Its has become a habit for such airlines to operate without bothering customer service and satisfaction.
7,October 2022,Goa to Hyderabad,Family Leisure,S Praveen ,1st October 2022,1,na,1,1,1,1,1,Economy Class,1,1,Trip Verified,SpiceJet calls me a day prior to inform the flight is cancelled,I had my flight booked for 1st October from Goa to Hyderabad. The flight time being around an hour. SpiceJet calls me a day prior to inform the flight is cancelled and I have to take an alternate flight (Goa - Delhi) (Delhi - Hyderabad) the flight time including lay over is more than 10 hours. I am travelling with 2 kids. Very very bad. Don’t prefer SpiceJet.
8,September 2022,Ahmedabad to Delhi,Business,Walid Lahoud,15th September 2022,1,na,1,1,1,1,1,Economy Class,1,1,Trip Verified,doesn’t care about customer satisfaction, It is a shame that companies like this are still allowed to operate. The flight was announced with delay and there is nothing you can do. They mention to you one hour delay so that you don’t freak out but at the end you don’t know when you are flying. On top of that you as very rude staff that really doesn’t care about customer satisfaction. If you ask to be booked on an earlier flight even with another airline they laugh at you. Never again and I advise all visitors to India to avoid them. They lie to you with a smile and they keep you sitting on the side until you break up
9,August 2022,Chennai to Delhi,Solo Leisure,P Sernah,26th August 2022,1,na,2,1,2,1,2,Economy Class,1,1,Trip Verified,gave me such a bad experience, I travelled in August. Firstly the temperature inside the flight was not good. Sometimes they were increasing the temperature so much that I felt suffocation at times. Sometimes it became so cold inside. Secondly on landing we were inside for about 30 minutes because they did not pen the door. Overall a 3 hour flight gave me such a bad experience. Never travel through spicejet.
10,August 2022,Bengaluru to Gwalior,Solo Leisure,S Margiya,24th August 2022,10,na,5,5,5,na,5,Economy Class,5,na,Trip Verified,a very satisfying experience," Very smooth flying experience. Both on ground staff and inflight crew seemed capable, efficient, friendly and pleasantly helpful.  The quality of service was excellent. The toilet was clean. The meal provided was fresh. No hassle and no delays at any point before, during or after the flight. I did not have to wait more than a couple minutes for my luggage after landing. Overall, I had a very satisfying experience."
